reels_shortcode,views,plays,likes,comments,timestamp
DWtMKHYkjlD,16924,71534,863,197,2026-04-05 02:56:15
DWp76lzkwiz,11252,65135,1500,17,2026-04-05 02:56:15
DWp8N7DzqWc,36504,138602,1503,28,2026-04-05 02:56:15
DWoUWrrE8un,19930,67937,916,24,2026-04-05 02:56:15
DWoTfDtCQg8,25826,110087,2674,2,2026-04-05 02:56:15
DWoS0TPEyWp,34738,115383,1265,4,2026-04-05 02:56:15
DWoPXpfky77,44819,159129,7625,20,2026-04-05 02:56:15
DWoO9DCyntz,50579,176861,8270,7,2026-04-05 02:56:15
DWoGI1iCSDv,39124,124179,2753,19,2026-04-05 02:56:15
DWoGRUtE2bj,10006,73793,525,2,2026-04-05 02:56:15
DWn50R4SuOr,89994,318345,15429,110,2026-04-05 02:56:15
DWnqoqVkX-L,1488,6766,52,,2026-04-05 02:56:15
DWnbjankwpO,48472,131372,-1,26,2026-04-05 02:56:15
DWlwhidEl7Q,10054,42530,568,949,2026-04-05 02:56:15
DWlwWKAk3hH,7384,36767,137,1,2026-04-05 02:56:15
DWlqX3yEwdZ,166139,502236,28669,86,2026-04-05 02:56:15
DWliwYThuSB,2910,15483,427,5,2026-04-05 02:56:15
DWlJh8VEqXj,23169,86402,894,1363,2026-04-05 02:56:15
DWjQFUGCQ1b,9969,44678,1692,2,2026-04-05 02:56:15
DWjN7G5khQJ,847,4893,42,1,2026-04-05 02:56:15
DWjF34akr-4,34546,114040,2299,11,2026-04-05 02:56:15
DWjC2e8k_S6,489737,1182598,31396,234,2026-04-05 02:56:15
DWi_O8yD2qO,182653,434054,20582,152,2026-04-05 02:56:15
DWiObFjhVF3,14850,121229,521,12,2026-04-05 02:56:15
DWg-3ChP_kJ,31712,111657,2501,1,2026-04-05 02:56:15
DWgnPL0CYTE,10495,59640,1042,2,2026-04-05 02:56:15
DWghR0Fk4GT,128247,395838,17289,133,2026-04-05 02:56:15
DWgfbz9j2m7,31189,91598,2873,30,2026-04-05 02:56:15
DWgSHk9E03s,23871,75733,-1,27,2026-04-05 02:56:15
DWgRXvskqrJ,46517,103911,4489,56,2026-04-05 02:56:15
DWgD04iExOI,18143,63390,3127,28,2026-04-05 02:56:15
DWeE07rklED,129798,390036,15831,16,2026-04-05 02:56:15
DWbNhPcEwNT,20280,83576,-1,16,2026-04-05 02:56:15
DWY4e4lyX2l,60626,175032,10688,63,2026-04-05 02:56:15
DWYqNVwE3mI,10210,57066,808,1,2026-04-05 02:56:15
DWYmGYbkThd,76923,223915,7967,262,2026-04-05 02:56:15
DWYR7esk642,27270,84496,3310,151,2026-04-05 02:56:15
DWX6pA8zbet,3463,11808,409,11,2026-04-05 02:56:15
DWWTH4mEdw4,24358,70571,1229,11,2026-04-05 02:56:15
